36,n02493509,None,titi,titi monkey,,,,,,,,
37,n02457408,None,three-toed sloth,ai,Bradypus tridactylus,,,,,,,
38,n02389026,None,sorrel,,,,,,,,,
39,n02443484,None,black-footed ferret,ferret,Mustela nigripes,,,,,,,
40,n02110341,dog,dalmatian,coach dog,carriage dog,,,,,,,
41,n02089078,dog,black-and-tan coonhound,,,,,,,,,
42,n02086910,dog,papillon,,,,,,,,,
43,n02445715,None,skunk,polecat,wood pussy,,,,,,,
44,n02093256,dog,Staffordshire bullterrier,Staffordshire bull terrier,,,,,,,,
45,n02113978,dog,Mexican hairless,,,,,,,,,
46,n02106382,dog,Bouvier des Flandres,Bouviers des Flandres,,,,,,,,
47,n02441942,person,weasel,,,,,,,,,
48,n02113712,dog,miniature poodle,,,,,,,,,
49,n02113186,dog,Cardigan,Cardigan Welsh corgi,,,,,,,,
50,n02105162,dog,malinois,,,,,,,,,
51,n02415577,None,bighorn,bighorn sheep,cimarron,Rocky Mountain bighorn,Rocky Mountain sheep,Ovis canadensis,,,,
52,n02356798,None,fox squirrel,eastern fox squirrel,Sciurus niger,,,,,,,
53,n02488702,None,colobus,colobus monkey,,,,,,,,
54,n02123159,cat,tiger cat,,,,,,,,,
55,n02098413,dog,Lhasa,Lhasa apso,,,,,,,,
56,n02422699,None,impala,Aepyceros melampus,,,,,,,,
57,n02114855,None,coyote,prairie wolf,brush wolf,Canis latrans,,,,,,
58,n02094433,dog,Yorkshire terrier,,,,,,,,,
59,n02111277,dog,Newfoundland,Newfoundland dog,,,,,,,,
60,n02132136,bear,brown bear,bruin,Ursus arctos,,,,,,,
61,n02119022,None,red fox,Vulpes vulpes,,,,,,,,
62,n02091467,dog,Norwegian elkhound,elkhound,,,,,,,,
63,n02106550,dog,Rottweiler,,,,,,,,,
64,n02422106,None,hartebeest,,,,,,,,,
65,n02091831,dog,Saluki,gazelle hound,,,,,,,,
66,n02120505,None,grey fox,gray fox,Urocyon cinereoargenteus,,,,,,,
67,n02104365,dog,schipperke,,,,,,,,,
68,n02086079,dog,Pekinese,Pekingese,Peke,,,,,,,
69,n02112706,dog,Brabancon griffon,,,,,,,,,
70,n02098286,dog,West Highland white terrier,,,,,,,,,
71,n02095889,dog,Sealyham terrier,Sealyham,,,,,,,,
72,n02484975,None,guenon,guenon monkey,,,,,,,,
73,n02137549,None,mongoose,,,,,,,,,
74,n02500267,None,indri,indris,Indri indri,Indri brevicaudatus,,,,,,
75,n02129604,None,tiger,Panthera tigris,,,,,,,,
76,n02090721,dog,Irish wolfhound,,,,,,,,,
77,n02396427,None,wild boar,boar,Sus scrofa,,,,,,,
78,n02108000,dog,EntleBucher,,,,,,,,,
79,n02391049,zebra,zebra,,,,,,,,,
80,n02412080,sheep,ram,tup,,,,,,,,
81,n02108915,dog,French bulldog,,,,,,,,,
82,n02480495,None,orangutan,orang,orangutang,Pongo pygmaeus,,,,,,
83,n02110806,dog,basenji,,,,,,,,,
84,n02128385,None,leopard,Panthera pardus,,,,,,,,
85,n02107683,dog,Bernese mountain dog,,,,,,,,,
86,n02085936,dog,Maltese dog,Maltese terrier,Maltese,,,,,,,
87,n02094114,dog,Norfolk terrier,,,,,,,,,
88,n02087046,dog,toy terrier,,,,,,,,,
89,n02100583,dog,vizsla,Hungarian pointer,,,,,,,,
90,n02096177,dog,cairn,cairn terrier,,,,,,,,
91,n02494079,None,squirrel monkey,Saimiri sciureus,,,,,,,,
92,n02105056,dog,groenendael,,,,,,,,,
93,n02101556,dog,clumber,clumber spaniel,,,,,,,,
94,n02123597,cat,Siamese cat,Siamese,,,,,,,,
95,n02481823,None,chimpanzee,chimp,Pan troglodytes,,,,,,,
96,n02105505,dog,komondor,,,,,,,,,
97,n02088094,dog,Afghan hound,Afghan,,,,,,,,
98,n02085782,dog,Japanese spaniel,,,,,,,,,
99,n02489166,None,proboscis monkey,Nasalis larvatus,,,,,,,,
100,n02364673,None,guinea pig,Cavia cobaya,,,,,,,,
101,n02114548,None,white wolf,Arctic wolf,Canis lupus tundrarum,,,,,,,
102,n02134084,bear,ice bear,polar bear,Ursus Maritimus,Thalarctos maritimus,,,,,,
103,n02480855,None,gorilla,Gorilla gorilla,,,,,,,,
104,n02090622,dog,borzoi,Russian wolfhound,,,,,,,,
105,n02113624,dog,toy poodle,,,,,,,,,
106,n02093859,dog,Kerry blue terrier,,,,,,,,,
107,n02403003,None,ox,,,,,,,,,
108,n02097298,dog,Scotch terrier,Scottish terrier,Scottie,,,,,,,
109,n02108551,dog,Tibetan mastiff,,,,,,,,,
110,n02493793,None,spider monkey,Ateles geoffroyi,,,,,,,,
111,n02107142,dog,Doberman,Doberman pinscher,,,,,,,,
112,n02096585,dog,Boston bull,Boston terrier,,,,,,,,
113,n02107574,dog,Greater Swiss Mountain dog,,,,,,,,,
114,n02107908,dog,Appenzeller,,,,,,,,,
115,n02086240,dog,Shih-Tzu,,,,,,,,,
116,n02102973,dog,Irish water spaniel,,,,,,,,,
117,n02112018,dog,Pomeranian,,,,,,,,,
118,n02093647,dog,Bedlington terrier,,,,,,,,,
119,n02397096,None,warthog,,,,,,,,,
120,n02437312,None,Arabian camel,dromedary,Camelus dromedarius,,,,,,,
121,n02483708,None,siamang,Hylobates syndactylus,Symphalangus syndactylus,,,,,,,
122,n02097047,dog,miniature schnauzer,,,,,,,,,
123,n02106030,dog,collie,,,,,,,,,
124,n02099601,dog,golden retriever,,,,,,,,,
125,n02093991,dog,Irish terrier,,,,,,,,,
126,n02110627,dog,affenpinscher,monkey pinscher,monkey dog,,,,,,,
127,n02106166,dog,Border collie,,,,,,,,,
128,n02326432,None,hare,,,,,,,,,
129,n02108089,person,boxer,,,,,,,,,
130,n02097658,dog,silky terrier,Sydney silky,,,,,,,,
131,n02088364,dog,beagle,,,,,,,,,
132,n02111129,dog,Leonberg,,,,,,,,,
133,n02100236,dog,German short-haired pointer,,,,,,,,,
134,n02486261,None,patas,hussar monkey,Erythrocebus patas,,,,,,,
135,n02115913,None,dhole,Cuon alpinus,,,,,,,,
136,n02486410,None,baboon,,,,,,,,,
137,n02487347,None,macaque,,,,,,,,,
138,n02099849,dog,Chesapeake Bay retriever,,,,,,,,,
139,n02108422,dog,bull mastiff,,,,,,,,,
140,n02104029,dog,kuvasz,,,,,,,,,
141,n02492035,None,capuchin,ringtail,Cebus capucinus,,,,,,,
142,n02110958,dog,pug,pug-dog,,,,,,,,
143,n02099429,dog,curly-coated retriever,,,,,,,,,
144,n02094258,dog,Norwich terrier,,,,,,,,,
145,n02099267,dog,flat-coated retriever,,,,,,,,,
146,n02395406,None,hog,pig,grunter,squealer,Sus scrofa,,,,,
147,n02112350,dog,keeshond,,,,,,,,,
148,n02109961,dog,Eskimo dog,husky,,,,,,,,
149,n02101388,dog,Brittany spaniel,,,,,,,,,
150,n02113799,dog,standard poodle,,,,,,,,,
151,n02095570,dog,Lakeland terrier,,,,,,,,,
152,n02128757,None,snow leopard,ounce,Panthera uncia,,,,,,,
153,n02101006,dog,Gordon setter,,,,,,,,,
154,n02115641,None,dingo,warrigal,warragal,Canis dingo,,,,,,
155,n02097209,dog,standard schnauzer,,,,,,,,,
156,n02342885,None,hamster,,,,,,,,,
157,n02097474,dog,Tibetan terrier,chrysanthemum dog,,,,,,,,
158,n02120079,None,Arctic fox,white fox,Alopex lagopus,,,,,,,
159,n02095314,dog,wire-haired fox terrier,,,,,,,,,
160,n02088238,dog,basset,basset hound,,,,,,,,
161,n02408429,None,water buffalo,water ox,Asiatic buffalo,Bubalus bubalis,,,,,,
162,n02133161,bear,American black bear,black bear,Ursus americanus,Euarctos americanus,,,,,,
163,n02328150,None,Angora,Angora rabbit,,,,,,,,
164,n02410509,None,bison,,,,,,,,,
165,n02492660,None,howler monkey,howler,,,,,,,,
166,n02398521,None,hippopotamus,hippo,river horse,Hippopotamus amphibius,,,,,,
167,n02112137,dog,chow,chow chow,,,,,,,,
168,n02510455,None,giant panda,panda,panda bear,coon bear,Ailuropoda melanoleuca,,,,,
169,n02093428,dog,American Staffordshire terrier,Staffordshire terrier,American pit bull terrier,pit bull terrier,,,,,,
170,n02105855,dog,Shetland sheepdog,Shetland sheep dog,Shetland,,,,,,,
171,n02111500,dog,Great Pyrenees,,,,,,,,,
172,n02085620,None,Chihuahua,,,,,,,,,
173,n02123045,cat,tabby,tabby cat,,,,,,,,
174,n02490219,None,marmoset,,,,,,,,,
175,n02099712,dog,Labrador retriever,,,,,,,,,
176,n02109525,dog,Saint Bernard,St Bernard,,,,,,,,
177,n02454379,None,armadillo,,,,,,,,,
178,n02111889,dog,Samoyed,Samoyede,,,,,,,,
179,n02088632,dog,bluetick,,,,,,,,,
180,n02090379,dog,redbone,,,,,,,,,
181,n02443114,None,polecat,fitch,foulmart,foumart,Mustela putorius,,,,,
182,n02361337,None,marmot,,,,,,,,,
183,n02105412,None,kelpie,,,,,,,,,
184,n02483362,None,gibbon,Hylobates lar,,,,,,,,
185,n02437616,None,llama,,,,,,,,,
186,n02107312,dog,miniature pinscher,,,,,,,,,
187,n02325366,None,wood rabbit,cottontail,cottontail rabbit,,,,,,,
188,n02091032,dog,Italian greyhound,,,,,,,,,
189,n02129165,None,lion,king of beasts,Panthera leo,,,,,,,
190,n02102318,dog,cocker spaniel,English cocker spaniel,cocker,,,,,,,
191,n02100877,dog,Irish setter,red setter,,,,,,,,
192,n02074367,None,dugong,Dugong dugon,,,,,,,,
193,n02504013,elephant,Indian elephant,Elephas maximus,,,,,,,,
194,n02363005,None,beaver,,,,,,,,,
195,n02102480,dog,Sussex spaniel,,,,,,,,,
196,n02113023,dog,Pembroke,Pembroke Welsh corgi,,,,,,,,
197,n02086646,dog,Blenheim spaniel,,,,,,,,,
198,n02497673,None,Madagascar cat,ring-tailed lemur,Lemur catta,,,,,,,
199,n02087394,dog,Rhodesian ridgeback,,,,,,,,,
200,n02127052,cat,lynx,catamount,,,,,,,,
201,n02116738,None,African hunting dog,hyena dog,Cape hunting dog,Lycaon pictus,,,,,,
202,n02488291,None,langur,,,,,,,,,
203,n02091244,dog,Ibizan hound,Ibizan Podenco,,,,,,,,
204,n02114367,None,timber wolf,grey wolf,gray wolf,Canis lupus,,,,,,
205,n02130308,None,cheetah,chetah,Acinonyx jubatus,,,,,,,
206,n02089973,dog,English foxhound,,,,,,,,,
207,n02105251,dog,briard,,,,,,,,,
208,n02134418,bear,sloth bear,Melursus ursinus,Ursus ursinus,,,,,,,
209,n02093754,dog,Border terrier,,,,,,,,,
210,n02106662,dog,German shepherd,German shepherd dog,German police dog,alsatian,,,,,,
211,n02444819,None,otter,,,,,,,,,
212,n01882714,None,koala,koala bear,kangaroo bear,native bear,Phascolarctos cinereus,,,,,
213,n01871265,None,tusker,,,,,,,,,
214,n01872401,None,echidna,spiny anteater,anteater,,,,,,,
215,n01877812,None,wallaby,brush kangaroo,,,,,,,,
216,n01873310,None,platypus,duckbill,duckbilled platypus,duck-billed platypus,Ornithorhynchus anatinus,,,,,
217,n01883070,None,wombat,,,,,,,,,
218,n04086273,None,revolver,six-gun,six-shooter,,,,,,,
219,n04507155,umbrella,umbrella,,,,,,,,,
220,n04147183,None,schooner,,,,,,,,,
221,n04254680,None,soccer ball,,,,,,,,,
222,n02672831,None,accordion,piano accordion,squeeze box,,,,,,,
223,n02219486,None,ant,emmet,pismire,,,,,,,
224,n02317335,None,starfish,sea star,,,,,,,,
225,n01968897,None,chambered nautilus,pearly nautilus,nautilus,,,,,,,
226,n03452741,None,grand piano,grand,,,,,,,,
227,n03642806,laptop,laptop,laptop computer,,,,,,,,
228,n07745940,None,strawberry,,,,,,,,,
229,n02690373,None,airliner,,,,,,,,,
230,n04552348,None,warplane,military plane,,,,,,,,
231,n02692877,None,airship,dirigible,,,,,,,,
232,n02782093,None,balloon,,,,,,,,,
233,n04266014,None,space shuttle,,,,,,,,,
234,n03344393,boat,fireboat,,,,,,,,,
235,n03447447,car,gondola,,,,,,,,,
236,n04273569,boat,speedboat,,,,,,,,,
237,n03662601,boat,lifeboat,,,,,,,,,
238,n02951358,boat,canoe,,,,,,,,,
239,n04612504,boat,yawl,,,,,,,,,
240,n02981792,None,catamaran,,,,,,,,,
241,n04483307,None,trimaran,,,,,,,,,
242,n03095699,None,container ship,containership,container vessel,,,,,,,
243,n03673027,None,liner,ocean liner,,,,,,,,
244,n03947888,None,pirate,pirate ship,,,,,,,,
245,n02687172,None,aircraft carrier,carrier,flattop,attack aircraft carrier,,,,,,
246,n04347754,None,submarine,pigboat,sub,U-boat,,,,,,
247,n04606251,None,wreck,,,,,,,,,
248,n03478589,None,half track,,,,,,,,,
249,n04389033,None,tank,army tank,armored combat vehicle,armoured combat vehicle,,,,,,
250,n03773504,None,missile,,,,,,,,,
251,n02860847,None,bobsled,bobsleigh,bob,,,,,,,
252,n03218198,None,dogsled,dog sled,dog sleigh,,,,,,,
253,n02835271,bicycle,bicycle-built-for-two,tandem bicycle,tandem,,,,,,,
254,n03792782,bicycle,mountain bike,all-terrain bike,off-roader,,,,,,,
255,n03393912,car,freight car,,,,,,,,,
256,n03895866,car,passenger car,coach,carriage,,,,,,,
257,n02797295,None,barrow,garden cart,lawn cart,wheelbarrow,,,,,,
258,n04204347,None,shopping cart,,,,,,,,,
259,n03791053,None,motor scooter,scooter,,,,,,,,
260,n03384352,None,forklift,,,,,,,,,
261,n03272562,None,electric locomotive,,,,,,,,,
262,n04310018,None,steam locomotive,,,,,,,,,
263,n02704792,None,amphibian,amphibious vehicle,,,,,,,,
264,n02701002,car,ambulance,,,,,,,,,
265,n02814533,car,beach wagon,station wagon,wagon,estate car,beach waggon,station waggon,waggon,,,
266,n02930766,car,cab,hack,taxi,taxicab,,,,,,
267,n03100240,car,convertible,,,,,,,,,
268,n03594945,car,jeep,landrover,,,,,,,,
269,n03670208,car,limousine,limo,,,,,,,,
270,n03770679,truck,minivan,,,,,,,,,
271,n03777568,car,Model T,,,,,,,,,
272,n04037443,car,racer,race car,racing car,,,,,,,
273,n04285008,car,sports car,sport car,,,,,,,,
274,n03444034,None,go-kart,,,,,,,,,
275,n03445924,None,golfcart,golf cart,,,,,,,,
276,n03785016,None,moped,,,,,,,,,
277,n04252225,None,snowplow,snowplough,,,,,,,,
278,n03345487,truck,fire engine,fire truck,,,,,,,,
279,n03417042,truck,garbage truck,dustcart,,,,,,,,
280,n03930630,truck,pickup,pickup truck,,,,,,,,
281,n04461696,truck,tow truck,tow car,wrecker,,,,,,,
282,n04467665,truck,trailer truck,tractor trailer,trucking rig,rig,articulated lorry,semi,,,,
283,n03796401,truck,moving van,,,,,,,,,
284,n03977966,truck,police van,police wagon,paddy wagon,patrol wagon,wagon,black Maria,,,,
285,n04065272,None,recreational vehicle,RV,R.V.,,,,,,,
286,n04335435,None,streetcar,tram,tramcar,trolley,trolley car,,,,,
287,n04252077,None,snowmobile,,,,,,,,,
288,n04465501,None,tractor,,,,,,,,,
289,n03776460,None,mobile home,manufactured home,,,,,,,,
290,n04482393,None,tricycle,trike,velocipede,,,,,,,
291,n04509417,None,unicycle,monocycle,,,,,,,,
292,n03538406,None,horse cart,horse-cart,,,,,,,,
293,n03599486,None,jinrikisha,ricksha,rickshaw,,,,,,,
294,n03868242,None,oxcart,,,,,,,,,
295,n02804414,None,bassinet,,,,,,,,,
296,n03125729,None,cradle,,,,,,,,,
297,n03131574,None,crib,cot,,,,,,,,
298,n03388549,bed,four-poster,,,,,,,,,
299,n02870880,None,bookcase,,,,,,,,,
300,n03018349,None,china cabinet,china closet,,,,,,,,
301,n03742115,None,medicine chest,medicine cabinet,,,,,,,,
302,n03016953,None,chiffonier,commode,,,,,,,,
303,n04380533,None,table lamp,,,,,,,,,
304,n03337140,None,file,file cabinet,filing cabinet,,,,,,,
305,n03891251,bench,park bench,,,,,,,,,
306,n02791124,chair,barber chair,,,,,,,,,
307,n04429376,chair,throne,,,,,,,,,
308,n03376595,chair,folding chair,,,,,,,,,
309,n04099969,chair,rocking chair,rocker,,,,,,,,
310,n04344873,sofa,studio couch,day bed,,,,,,,,
311,n04447861,None,toilet seat,,,,,,,,,
312,n03179701,None,desk,,,,,,,,,
313,n03982430,None,pool table,billiard table,snooker table,,,,,,,
314,n03201208,None,dining table,board,,,,,,,,
315,n03290653,None,entertainment center,,,,,,,,,
316,n04550184,None,wardrobe,closet,press,,,,,,,
317,n07742313,apple,Granny Smith,,,,,,,,,
318,n07747607,orange,orange,,,,,,,,,
319,n07749582,None,lemon,,,,,,,,,
320,n07753113,None,fig,,,,,,,,,
321,n07753275,None,pineapple,ananas,,,,,,,,
322,n07753592,banana,banana,,,,,,,,,
323,n07754684,None,jackfruit,jak,jack,,,,,,,
324,n07760859,None,custard apple,,,,,,,,,
325,n07768694,None,pomegranate,,,,,,,,,
326,n12267677,None,acorn,,,,,,,,,
327,n12620546,None,hip,rose hip,rosehip,,,,,,,
328,n13133613,None,ear,spike,capitulum,,,,,,,
329,n11879895,None,rapeseed,,,,,,,,,
330,n12144580,None,corn,,,,,,,,,
331,n12768682,None,buckeye,horse chestnut,conker,,,,,,,
332,n03854065,None,organ,pipe organ,,,,,,,,
333,n04515003,None,upright,upright piano,,,,,,,,
334,n03017168,None,chime,bell,gong,,,,,,,
335,n03249569,None,drum,membranophone,tympan,,,,,,,
336,n03447721,None,gong,tam-tam,,,,,,,,
337,n03720891,None,maraca,,,,,,,,,
338,n03721384,None,marimba,xylophone,,,,,,,,
339,n04311174,None,steel drum,,,,,,,,,
340,n02787622,None,banjo,,,,,,,,,
341,n02992211,None,cello,violoncello,,,,,,,,
342,n04536866,None,violin,fiddle,,,,,,,,
343,n03495258,None,harp,,,,,,,,,
344,n02676566,None,acoustic guitar,,,,,,,,,
345,n03272010,None,electric guitar,,,,,,,,,
346,n03110669,None,cornet,horn,trumpet,trump,,,,,,
347,n03394916,None,French horn,horn,,,,,,,,
348,n04487394,None,trombone,,,,,,,,,
349,n03494278,None,harmonica,mouth organ,harp,mouth harp,,,,,,
350,n03840681,None,ocarina,sweet potato,,,,,,,,
351,n03884397,None,panpipe,pandean pipe,syrinx,,,,,,,
352,n02804610,None,bassoon,,,,,,,,,
353,n03838899,None,oboe,hautboy,hautbois,,,,,,,
354,n04141076,None,sax,saxophone,,,,,,,,
355,n03372029,None,flute,transverse flute,,,,,,,,
356,n11939491,None,daisy,,,,,,,,,
357,n12057211,None,yellow lady's slipper,yellow lady-slipper,Cypripedium calceolus,Cypripedium parviflorum,,,,,,
358,n09246464,None,cliff,drop,drop-off,,,,,,,
359,n09468604,None,valley,vale,,,,,,,,
360,n09193705,None,alp,,,,,,,,,
361,n09472597,None,volcano,,,,,,,,,
362,n09399592,None,promontory,headland,head,foreland,,,,,,
363,n09421951,None,sandbar,sand bar,,,,,,,,
364,n09256479,None,coral reef,,,,,,,,,
365,n09332890,None,lakeside,lakeshore,,,,,,,,
366,n09428293,None,seashore,coast,seacoast,sea-coast,,,,,,
367,n09288635,None,geyser,,,,,,,,,
368,n03498962,None,hatchet,,,,,,,,,
369,n03041632,knife,cleaver,meat cleaver,chopper,,,,,,,
370,n03658185,knife,letter opener,paper knife,paperknife,,,,,,,
371,n03954731,None,plane,carpenter's plane,woodworking plane,,,,,,,
372,n03995372,None,power drill,,,,,,,,,
373,n03649909,None,lawn mower,mower,,,,,,,,
374,n03481172,None,hammer,,,,,,,,,
375,n03109150,None,corkscrew,bottle screw,,,,,,,,
376,n02951585,None,can opener,tin opener,,,,,,,,
377,n03970156,None,plunger,plumber's helper,,,,,,,,
378,n04154565,None,screwdriver,,,,,,,,,
379,n04208210,None,shovel,,,,,,,,,
380,n03967562,None,plow,plough,,,,,,,,
381,n03000684,None,chain saw,chainsaw,,,,,,,,
382,n01514668,None,cock,,,,,,,,,
383,n01514859,bird,hen,,,,,,,,,
384,n01518878,bird,ostrich,Struthio camelus,,,,,,,,
385,n01530575,bird,brambling,Fringilla montifringilla,,,,,,,,
386,n01531178,bird,goldfinch,Carduelis carduelis,,,,,,,,
387,n01532829,bird,house finch,linnet,Carpodacus mexicanus,,,,,,,
388,n01534433,bird,junco,snowbird,,,,,,,,
389,n01537544,bird,indigo bunting,indigo finch,indigo bird,Passerina cyanea,,,,,,
390,n01558993,bird,robin,American robin,Turdus migratorius,,,,,,,
391,n01560419,bird,bulbul,,,,,,,,,
392,n01580077,person,jay,,,,,,,,,
393,n01582220,bird,magpie,,,,,,,,,
394,n01592084,bird,chickadee,,,,,,,,,
395,n01601694,bird,water ouzel,dipper,,,,,,,,
396,n01608432,kite,kite,,,,,,,,,
397,n01614925,bird,bald eagle,American eagle,Haliaeetus leucocephalus,,,,,,,
398,n01616318,bird,vulture,,,,,,,,,
399,n01622779,bird,great grey owl,great gray owl,Strix nebulosa,,,,,,,
400,n01795545,bird,black grouse,,,,,,,,,
401,n01796340,bird,ptarmigan,,,,,,,,,
402,n01797886,bird,ruffed grouse,partridge,Bonasa umbellus,,,,,,,
403,n01798484,bird,prairie chicken,prairie grouse,prairie fowl,,,,,,,
404,n01806143,None,peacock,,,,,,,,,
405,n01806567,bird,quail,,,,,,,,,
406,n01807496,bird,partridge,,,,,,,,,
407,n01817953,bird,African grey,African gray,Psittacus erithacus,,,,,,,
408,n01818515,bird,macaw,,,,,,,,,
409,n01819313,bird,sulphur-crested cockatoo,Kakatoe galerita,Cacatua galerita,,,,,,,
410,n01820546,bird,lorikeet,,,,,,,,,
411,n01824575,bird,coucal,,,,,,,,,
412,n01828970,bird,bee eater,,,,,,,,,
413,n01829413,bird,hornbill,,,,,,,,,
414,n01833805,bird,hummingbird,,,,,,,,,
415,n01843065,bird,jacamar,,,,,,,,,
416,n01843383,bird,toucan,,,,,,,,,
417,n01847000,person,drake,,,,,,,,,
418,n01855032,bird,red-breasted merganser,Mergus serrator,,,,,,,,
419,n01855672,bird,goose,,,,,,,,,
420,n01860187,bird,black swan,Cygnus atratus,,,,,,,,
421,n02002556,bird,white stork,Ciconia ciconia,,,,,,,,
422,n02002724,bird,black stork,Ciconia nigra,,,,,,,,
423,n02006656,bird,spoonbill,,,,,,,,,
424,n02007558,bird,flamingo,,,,,,,,,
425,n02009912,bird,American egret,great white heron,Egretta albus,,,,,,,
426,n02009229,bird,little blue heron,Egretta caerulea,,,,,,,,
427,n02011460,bird,bittern,,,,,,,,,
428,n02012849,person,crane,,,,,,,,,
429,n02013706,bird,limpkin,Aramus pictus,,,,,,,,
430,n02018207,bird,American coot,marsh hen,mud hen,water hen,Fulica americana,,,,,
431,n02018795,bird,bustard,,,,,,,,,
432,n02025239,bird,ruddy turnstone,Arenaria interpres,,,,,,,,
433,n02027492,bird,red-backed sandpiper,dunlin,Erolia alpina,,,,,,,
434,n02028035,bird,redshank,Tringa totanus,,,,,,,,
435,n02033041,bird,dowitcher,,,,,,,,,
436,n02037110,bird,oystercatcher,oyster catcher,,,,,,,,
437,n02017213,bird,European gallinule,Porphyrio porphyrio,,,,,,,,
438,n02051845,bird,pelican,,,,,,,,,
439,n02056570,bird,king penguin,Aptenodytes patagonica,,,,,,,,
440,n02058221,bird,albatross,mollymawk,,,,,,,,
441,n01484850,None,great white shark,white shark,man-eater,man-eating shark,Carcharodon carcharias,,,,,
442,n01491361,None,tiger shark,Galeocerdo cuvieri,,,,,,,,
443,n01494475,None,hammerhead,hammerhead shark,,,,,,,,
444,n01496331,None,electric ray,crampfish,numbfish,torpedo,,,,,,
445,n01498041,None,stingray,,,,,,,,,
446,n02514041,None,barracouta,snoek,,,,,,,,
447,n02536864,None,coho,cohoe,coho salmon,blue jack,silver salmon,Oncorhynchus kisutch,,,,
448,n01440764,None,tench,Tinca tinca,,,,,,,,
449,n01443537,None,goldfish,Carassius auratus,,,,,,,,
450,n02526121,None,eel,,,,,,,,,
451,n02606052,None,rock beauty,Holocanthus tricolor,,,,,,,,
452,n02607072,None,anemone fish,,,,,,,,,
453,n02643566,None,lionfish,,,,,,,,,
454,n02655020,None,puffer,pufferfish,blowfish,globefish,,,,,,
455,n02640242,None,sturgeon,,,,,,,,,
456,n02641379,None,gar,garfish,garpike,billfish,Lepisosteus osseus,,,,,
457,n01664065,None,loggerhead,loggerhead turtle,Caretta caretta,,,,,,,
458,n01665541,None,leatherback turtle,leatherback,leathery turtle,Dermochelys coriacea,,,,,,
459,n01667114,None,mud turtle,,,,,,,,,
460,n01667778,None,terrapin,,,,,,,,,
461,n01669191,None,box turtle,box tortoise,,,,,,,,
462,n01675722,None,banded gecko,,,,,,,,,
463,n01677366,None,common iguana,iguana,Iguana iguana,,,,,,,
464,n01682714,None,American chameleon,anole,Anolis carolinensis,,,,,,,
465,n01685808,None,whiptail,whiptail lizard,,,,,,,,
466,n01687978,None,agama,,,,,,,,,
467,n01688243,None,frilled lizard,Chlamydosaurus kingi,,,,,,,,
468,n01689811,None,alligator lizard,,,,,,,,,
469,n01692333,None,Gila monster,Heloderma suspectum,,,,,,,,
470,n01693334,None,green lizard,Lacerta viridis,,,,,,,,
471,n01694178,None,African chameleon,Chamaeleo chamaeleon,,,,,,,,
472,n01695060,None,Komodo dragon,Komodo lizard,dragon lizard,giant lizard,Varanus komodoensis,,,,,
473,n01704323,None,triceratops,,,,,,,,,
474,n01697457,None,African crocodile,Nile crocodile,Crocodylus niloticus,,,,,,,
475,n01698640,None,American alligator,Alligator mississipiensis,,,,,,,,
476,n01728572,None,thunder snake,worm snake,Carphophis amoenus,,,,,,,
477,n01728920,None,ringneck snake,ring-necked snake,ring snake,,,,,,,
478,n01729322,None,hognose snake,puff adder,sand viper,,,,,,,
479,n01729977,None,green snake,grass snake,,,,,,,,
